epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,341.259,0.97055,0.81612,1.01992,0.78038,0.63585,0.66488,0.43465,1.20239,0.94207,1.04854,0.000369054,0.000369054,0.000369054
32,351.997,1.001,0.79555,0.99679,0.75754,0.72685,0.70616,0.45898,1.17263,0.99294,1.03193,0.000351056,0.000351056,0.000351056
33,362.874,1.00107,0.77724,0.99748,0.74894,0.70765,0.72189,0.46903,1.1709,0.90019,1.01843,0.000333058,0.000333058,0.000333058
34,373.313,0.94856,0.78131,0.99412,0.75842,0.69205,0.69644,0.45536,1.1562,1.00615,1.02241,0.000315059,0.000315059,0.000315059
35,384.079,0.94169,0.73753,0.98597,0.6712,0.74694,0.71482,0.4438,1.1606,0.98941,1.02458,0.000297061,0.000297061,0.000297061
36,394.71,0.93924,0.72704,0.97832,0.75313,0.69412,0.71514,0.45788,1.1759,0.9479,1.04798,0.000279063,0.000279063,0.000279063
37,405.439,0.90222,0.70605,0.97894,0.74762,0.73796,0.73022,0.46532,1.15013,0.9055,1.02477,0.000261065,0.000261065,0.000261065
38,416.058,0.93424,0.76159,0.98952,0.67158,0.73017,0.72696,0.46904,1.13393,0.90879,1.02125,0.000243067,0.000243067,0.000243067
39,426.545,0.90917,0.69423,0.9672,0.74664,0.75251,0.71647,0.46094,1.16166,0.9117,1.02733,0.000225068,0.000225068,0.000225068
40,437.197,0.90931,0.70274,0.97889,0.75422,0.72282,0.71658,0.45294,1.19469,0.95579,1.03478,0.00020707,0.00020707,0.00020707
41,479.393,0.97113,0.73968,0.94201,0.75425,0.71441,0.70559,0.45408,1.15038,0.94651,1.0132,0.000189072,0.000189072,0.000189072
42,489.652,0.96371,0.72395,0.94739,0.75373,0.66234,0.70726,0.45062,1.17787,0.93959,1.03187,0.000171074,0.000171074,0.000171074
43,499.46,0.96228,0.70483,0.9283,0.77073,0.6834,0.70027,0.45969,1.14839,0.92511,1.01899,0.000153076,0.000153076,0.000153076
44,509.426,0.94342,0.68926,0.93422,0.76838,0.73165,0.71775,0.46244,1.16151,0.915,1.0206,0.000135077,0.000135077,0.000135077
45,519.511,0.94501,0.70327,0.94221,0.7918,0.70885,0.7104,0.44515,1.14227,0.92423,1.02088,0.000117079,0.000117079,0.000117079
46,529.575,0.93714,0.68007,0.93537,0.7807,0.7117,0.71508,0.46472,1.13129,0.87903,1.01522,9.9081e-05,9.9081e-05,9.9081e-05
47,539.676,0.91421,0.67128,0.93184,0.77244,0.74023,0.72544,0.4728,1.1262,0.90153,1.01757,8.10828e-05,8.10828e-05,8.10828e-05
48,549.762,0.91429,0.66453,0.93107,0.76826,0.7043,0.73573,0.47171,1.12419,0.86561,1.02348,6.30846e-05,6.30846e-05,6.30846e-05
49,559.882,0.89161,0.64626,0.91264,0.77765,0.72281,0.74169,0.47577,1.12288,0.86999,1.01767,4.50864e-05,4.50864e-05,4.50864e-05
50,570.15,0.88742,0.63615,0.91588,0.78145,0.73863,0.73036,0.47849,1.11399,0.85915,1.01521,2.70882e-05,2.70882e-05,2.70882e-05
