epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.6983,1.50901,3.38937,1.26785,0.95875,0.10526,0.22382,0.15273,1.36052,3.01002,1.17878,0.000299259,0.000299259,0.000299259
2,33.0655,1.44362,2.37799,1.23124,0.46735,0.28372,0.25575,0.17727,1.3528,1.92312,1.17202,0.000590335,0.000590335,0.000590335
3,43.9269,1.41238,2.16079,1.21033,0.37112,0.38485,0.29891,0.18617,1.40351,1.73522,1.19812,0.000869411,0.000869411,0.000869411
4,54.7694,1.40227,2.00903,1.20204,0.81283,0.32228,0.32319,0.1962,1.50833,1.74298,1.24422,0.000855005,0.000855005,0.000855005
5,65.3209,1.36905,1.92254,1.19112,0.77834,0.3809,0.38861,0.25929,1.41444,1.66049,1.22953,0.000837007,0.000837007,0.000837007
6,76.0541,1.31073,1.73207,1.15695,0.84052,0.28828,0.35077,0.22217,1.43583,1.65444,1.20355,0.000819009,0.000819009,0.000819009
7,86.8787,1.30552,1.64595,1.1622,0.58505,0.44509,0.44621,0.28943,1.41778,1.42639,1.19407,0.000801011,0.000801011,0.000801011
8,97.3525,1.27065,1.49805,1.16808,0.71821,0.43652,0.45537,0.30381,1.36856,1.4212,1.15673,0.000783013,0.000783013,0.000783013
9,107.834,1.22127,1.46897,1.12155,0.6836,0.5018,0.49689,0.32177,1.29604,1.35472,1.09723,0.000765014,0.000765014,0.000765014
10,118.623,1.23678,1.35207,1.11274,0.5027,0.50144,0.49419,0.32828,1.32176,1.43592,1.15997,0.000747016,0.000747016,0.000747016
11,129.975,1.24312,1.3287,1.11552,0.48877,0.50933,0.48859,0.3344,1.23454,1.2612,1.06314,0.000729018,0.000729018,0.000729018
12,140.661,1.17398,1.26083,1.08181,0.66424,0.48773,0.55963,0.36007,1.24095,1.1723,1.0653,0.00071102,0.00071102,0.00071102
13,151.311,1.17771,1.25352,1.09089,0.46929,0.65549,0.57107,0.37713,1.23031,1.13173,1.05207,0.000693022,0.000693022,0.000693022
14,161.973,1.17295,1.18159,1.07852,0.59139,0.63513,0.58857,0.36519,1.23103,1.10846,1.07676,0.000675023,0.000675023,0.000675023
15,172.465,1.16317,1.13193,1.07841,0.63743,0.61259,0.601,0.39224,1.26744,1.14912,1.08761,0.000657025,0.000657025,0.000657025
16,183.125,1.13109,1.11308,1.07069,0.57712,0.60042,0.55003,0.37773,1.2352,1.14042,1.06102,0.000639027,0.000639027,0.000639027
17,193.85,1.13716,1.09174,1.06456,0.64989,0.65255,0.64831,0.39567,1.26016,1.05263,1.10439,0.000621029,0.000621029,0.000621029
18,204.321,1.12741,1.0331,1.05784,0.62822,0.61146,0.60023,0.38508,1.25625,1.15676,1.06208,0.000603031,0.000603031,0.000603031
19,214.727,1.14765,1.04467,1.05664,0.69639,0.63121,0.61852,0.40846,1.22853,1.19902,1.05061,0.000585032,0.000585032,0.000585032
20,225.245,1.10414,0.99743,1.06017,0.72087,0.63266,0.68228,0.4342,1.22929,1.0189,1.04874,0.000567034,0.000567034,0.000567034
21,235.718,1.08093,0.96929,1.04297,0.70253,0.65217,0.65196,0.443,1.16852,1.00768,1.02247,0.000549036,0.000549036,0.000549036
22,246.368,1.06955,0.95281,1.0505,0.58543,0.6213,0.6144,0.41028,1.1844,1.12215,1.0272,0.000531038,0.000531038,0.000531038
23,256.823,1.08684,0.93735,1.02905,0.6235,0.66969,0.64061,0.41989,1.22039,1.04183,1.04954,0.00051304,0.00051304,0.00051304
24,267.312,1.03002,0.91425,1.03209,0.61196,0.61251,0.63137,0.42425,1.18842,1.00805,1.04514,0.000495041,0.000495041,0.000495041
25,278.04,1.0848,0.89097,1.02999,0.67861,0.67697,0.67027,0.43507,1.20647,0.971,1.04561,0.000477043,0.000477043,0.000477043
26,288.492,1.05469,0.89684,1.01609,0.68762,0.69964,0.72297,0.43274,1.19735,0.92701,1.04055,0.000459045,0.000459045,0.000459045
27,299.086,1.0171,0.83576,1.02512,0.75326,0.65383,0.68524,0.43231,1.19115,1.02775,1.00775,0.000441047,0.000441047,0.000441047
28,309.619,1.00318,0.83699,1.01691,0.56409,0.72521,0.6514,0.40896,1.19146,0.9769,1.03072,0.000423049,0.000423049,0.000423049
29,320.175,0.97816,0.79753,1.01056,0.75294,0.68153,0.70733,0.46301,1.2152,1.08264,1.06815,0.00040505,0.00040505,0.00040505
30,330.811,1.02709,0.8085,0.99576,0.72321,0.74392,0.71795,0.45482,1.22442,0.97833,1.07113,0.000387052,0.000387052,0.000387052
