epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.132,1.45585,3.04957,1.341,0.55143,0.43923,0.34054,0.20965,1.38748,1.81508,1.21263,0.000299259,0.000299259,0.000299259
2,76.5858,1.42822,1.85225,1.27508,0.41769,0.31834,0.25122,0.13177,1.61251,2.37521,1.45788,0.000590335,0.000590335,0.000590335
3,105.807,1.44783,1.6418,1.26938,0.49979,0.48713,0.40767,0.24126,1.46642,1.64188,1.31892,0.000869411,0.000869411,0.000869411
4,135.333,1.42125,1.51832,1.26866,0.61146,0.36023,0.37874,0.22476,1.40862,1.60242,1.24754,0.000855005,0.000855005,0.000855005
5,164.836,1.369,1.42634,1.25512,0.50785,0.50159,0.47204,0.32272,1.27934,1.46032,1.17368,0.000837007,0.000837007,0.000837007
6,194.001,1.33519,1.28604,1.20851,0.74606,0.43807,0.46428,0.28992,1.37546,1.28774,1.20068,0.000819009,0.000819009,0.000819009
7,222.97,1.29893,1.25709,1.21494,0.59834,0.53685,0.56856,0.37138,1.35196,1.19211,1.20034,0.000801011,0.000801011,0.000801011
8,252.726,1.2479,1.17322,1.20252,0.56519,0.52533,0.4655,0.30876,1.35994,1.50923,1.18732,0.000783013,0.000783013,0.000783013
9,282.423,1.23925,1.17352,1.18605,0.55982,0.5696,0.53344,0.3635,1.29263,1.2087,1.14971,0.000765014,0.000765014,0.000765014
10,312.765,1.22726,1.08413,1.16057,0.71262,0.55865,0.57939,0.36162,1.34314,1.08874,1.19885,0.000747016,0.000747016,0.000747016
11,342.719,1.21066,0.99992,1.15315,0.73216,0.53085,0.57075,0.37304,1.24979,1.0924,1.08543,0.000729018,0.000729018,0.000729018
12,372.476,1.20241,1.0773,1.14387,0.73353,0.55056,0.66024,0.43144,1.22629,1.01026,1.11556,0.00071102,0.00071102,0.00071102
13,402.265,1.19707,1.05289,1.15526,0.5824,0.63491,0.61137,0.39804,1.26577,1.08751,1.11742,0.000693022,0.000693022,0.000693022
14,431.42,1.14017,0.97406,1.11106,0.63911,0.60169,0.66501,0.42431,1.2531,1.00938,1.11599,0.000675023,0.000675023,0.000675023
15,460.739,1.1655,0.93379,1.13889,0.74603,0.61843,0.6689,0.42574,1.23093,0.95975,1.09559,0.000657025,0.000657025,0.000657025
16,489.884,1.14474,0.93499,1.13206,0.58316,0.635,0.60573,0.41197,1.2069,1.06422,1.07981,0.000639027,0.000639027,0.000639027
17,519.239,1.12021,0.90814,1.10296,0.77262,0.61081,0.68571,0.44938,1.22753,0.94186,1.07623,0.000621029,0.000621029,0.000621029
18,549.311,1.10508,0.86509,1.10939,0.76586,0.71767,0.70661,0.44338,1.21326,0.97553,1.08864,0.000603031,0.000603031,0.000603031
19,578.953,1.13833,0.86048,1.10471,0.70881,0.6734,0.67661,0.43127,1.2311,0.98869,1.07128,0.000585032,0.000585032,0.000585032
20,608.759,1.10138,0.82137,1.09996,0.77012,0.56533,0.69684,0.46981,1.20204,0.90371,1.07653,0.000567034,0.000567034,0.000567034
21,638.46,1.07258,0.81551,1.08827,0.63994,0.73291,0.67866,0.44671,1.15305,0.92376,1.05153,0.000549036,0.000549036,0.000549036
22,668.949,1.06068,0.7879,1.09191,0.70392,0.71715,0.68678,0.44508,1.19933,0.95388,1.0626,0.000531038,0.000531038,0.000531038
23,699.258,1.07402,0.79685,1.07477,0.77041,0.63602,0.69567,0.46371,1.15584,0.9354,1.04199,0.00051304,0.00051304,0.00051304
24,729.343,1.02408,0.77356,1.07464,0.71768,0.7396,0.73938,0.48202,1.20131,0.89841,1.05871,0.000495041,0.000495041,0.000495041
25,759.136,1.07974,0.74865,1.06928,0.7637,0.67708,0.72417,0.4545,1.19705,0.88596,1.05916,0.000477043,0.000477043,0.000477043
26,788.63,1.01499,0.75244,1.03904,0.72904,0.71785,0.72969,0.47604,1.15932,0.89158,1.03676,0.000459045,0.000459045,0.000459045
27,818.725,0.99551,0.71162,1.05507,0.72726,0.75889,0.72015,0.46544,1.21737,0.92953,1.06467,0.000441047,0.000441047,0.000441047
28,848.418,0.98512,0.71462,1.05268,0.73193,0.7187,0.71246,0.45283,1.18403,0.88421,1.0587,0.000423049,0.000423049,0.000423049
29,878.868,0.94363,0.65398,1.03599,0.76865,0.73661,0.72961,0.48061,1.14866,0.91182,1.04039,0.00040505,0.00040505,0.00040505
30,908.76,0.9817,0.68721,1.0262,0.67884,0.74064,0.72166,0.46563,1.18134,0.8774,1.06249,0.000387052,0.000387052,0.000387052
31,938.82,0.94194,0.7084,1.05027,0.78067,0.68652,0.71783,0.46002,1.15197,0.85824,1.04563,0.000369054,0.000369054,0.000369054
32,968.575,0.95411,0.69035,1.02004,0.68336,0.73979,0.69673,0.46598,1.12751,0.89084,1.03548,0.000351056,0.000351056,0.000351056
33,998.463,0.95591,0.6509,1.02306,0.7821,0.71152,0.75147,0.48123,1.15335,0.84758,1.05875,0.000333058,0.000333058,0.000333058
34,1028.27,0.92842,0.64333,1.02823,0.76208,0.66521,0.71024,0.46261,1.14002,0.94719,1.04925,0.000315059,0.000315059,0.000315059
35,1057.67,0.91951,0.62545,1.01701,0.74134,0.70944,0.72471,0.48032,1.15443,0.90374,1.05065,0.000297061,0.000297061,0.000297061
36,1087.35,0.90455,0.61384,1.00282,0.73371,0.77528,0.73127,0.47811,1.15299,0.86725,1.04672,0.000279063,0.000279063,0.000279063
37,1117.89,0.85847,0.58335,1.00434,0.74112,0.70103,0.73233,0.4707,1.13241,0.83151,1.02991,0.000261065,0.000261065,0.000261065
38,1146.62,0.88687,0.62434,1.01098,0.76506,0.73403,0.71929,0.47305,1.14641,0.84676,1.04507,0.000243067,0.000243067,0.000243067
39,1177.39,0.8596,0.59296,0.98233,0.76462,0.75246,0.7409,0.4894,1.13993,0.81064,1.03715,0.000225068,0.000225068,0.000225068
40,1207.3,0.86509,0.58867,1.00492,0.81949,0.66973,0.73462,0.4807,1.16497,0.7926,1.05866,0.00020707,0.00020707,0.00020707
41,1271.07,0.89995,0.58995,0.95563,0.77299,0.70779,0.72382,0.4548,1.1475,0.83498,1.04998,0.000189072,0.000189072,0.000189072
42,1299.88,0.8938,0.58669,0.96361,0.82654,0.70406,0.73685,0.48082,1.14987,0.8022,1.05753,0.000171074,0.000171074,0.000171074
43,1328.51,0.9003,0.57012,0.94595,0.82426,0.71132,0.7575,0.49998,1.13053,0.77213,1.04605,0.000153076,0.000153076,0.000153076
44,1357.79,0.86086,0.56469,0.94654,0.78778,0.724,0.72705,0.47423,1.16843,0.82557,1.0554,0.000135077,0.000135077,0.000135077
45,1386.29,0.86059,0.54716,0.94879,0.7565,0.77149,0.73706,0.48017,1.16742,0.79988,1.06728,0.000117079,0.000117079,0.000117079
46,1414.9,0.86029,0.53711,0.94274,0.77979,0.7828,0.74817,0.48796,1.13515,0.79038,1.04542,9.9081e-05,9.9081e-05,9.9081e-05
47,1443.69,0.83658,0.51662,0.93678,0.74435,0.76653,0.76139,0.4969,1.13966,0.78594,1.0432,8.10828e-05,8.10828e-05,8.10828e-05
48,1472.93,0.82518,0.51371,0.9294,0.79217,0.74798,0.7492,0.49016,1.13263,0.76894,1.04226,6.30846e-05,6.30846e-05,6.30846e-05
49,1501.82,0.80994,0.49585,0.9141,0.79414,0.73845,0.74209,0.49194,1.13246,0.77674,1.03696,4.50864e-05,4.50864e-05,4.50864e-05
50,1530.4,0.80077,0.49225,0.91978,0.80117,0.74087,0.74636,0.50106,1.12023,0.77841,1.03714,2.70882e-05,2.70882e-05,2.70882e-05
